epoch: 0	train ppl: 538.3189582186498	val ppl: 311.5137743995269	best val: 311.5137743995269	time (s) spent in epoch: 639.7106683254242
epoch: 1	train ppl: 299.15969315555594	val ppl: 230.5871878668687	best val: 230.5871878668687	time (s) spent in epoch: 632.6697428226471
epoch: 2	train ppl: 240.35944789843717	val ppl: 199.10237624462587	best val: 199.10237624462587	time (s) spent in epoch: 636.3166739940643
epoch: 3	train ppl: 207.1279044775901	val ppl: 178.2966210066896	best val: 178.2966210066896	time (s) spent in epoch: 638.706369638443
epoch: 4	train ppl: 184.4410242882075	val ppl: 171.5814720615976	best val: 171.5814720615976	time (s) spent in epoch: 637.3669259548187
epoch: 5	train ppl: 166.77869230594254	val ppl: 160.4425174961114	best val: 160.4425174961114	time (s) spent in epoch: 638.5367612838745
epoch: 6	train ppl: 153.29939063081923	val ppl: 143.73467667815328	best val: 143.73467667815328	time (s) spent in epoch: 637.2132904529572
epoch: 7	train ppl: 142.24088507187972	val ppl: 139.18991481750436	best val: 139.18991481750436	time (s) spent in epoch: 636.5041987895966
epoch: 8	train ppl: 132.81579533691536	val ppl: 136.2329212743501	best val: 136.2329212743501	time (s) spent in epoch: 636.7416188716888
epoch: 9	train ppl: 125.19548759137598	val ppl: 129.63662796630936	best val: 129.63662796630936	time (s) spent in epoch: 634.9942693710327
epoch: 10	train ppl: 118.13805666257969	val ppl: 127.32526051391052	best val: 127.32526051391052	time (s) spent in epoch: 635.7203352451324
epoch: 11	train ppl: 112.02026303188242	val ppl: 126.72096653533083	best val: 126.72096653533083	time (s) spent in epoch: 644.3003318309784
epoch: 12	train ppl: 106.72660016662581	val ppl: 122.04677159732051	best val: 122.04677159732051	time (s) spent in epoch: 633.8872137069702
epoch: 13	train ppl: 101.84303546817814	val ppl: 120.23381680458378	best val: 120.23381680458378	time (s) spent in epoch: 631.9613392353058
epoch: 14	train ppl: 97.49106415515213	val ppl: 119.38428702624662	best val: 119.38428702624662	time (s) spent in epoch: 634.0876924991608
epoch: 15	train ppl: 93.60112745036221	val ppl: 117.86206299602559	best val: 117.86206299602559	time (s) spent in epoch: 632.9207782745361
epoch: 16	train ppl: 89.77227301300448	val ppl: 114.82721716385154	best val: 114.82721716385154	time (s) spent in epoch: 632.8111064434052
epoch: 17	train ppl: 86.41346977817733	val ppl: 114.523097754799	best val: 114.523097754799	time (s) spent in epoch: 633.5470912456512
epoch: 18	train ppl: 83.45578439456773	val ppl: 114.1416258486342	best val: 114.1416258486342	time (s) spent in epoch: 633.5850048065186
epoch: 19	train ppl: 80.46485787759582	val ppl: 114.41745442642164	best val: 114.1416258486342	time (s) spent in epoch: 633.4014959335327
epoch: 20	train ppl: 77.91424446201474	val ppl: 113.37610568468494	best val: 113.37610568468494	time (s) spent in epoch: 635.9048297405243
epoch: 21	train ppl: 75.30915571794954	val ppl: 115.20043245920078	best val: 113.37610568468494	time (s) spent in epoch: 632.6754677295685
epoch: 22	train ppl: 72.96333593614827	val ppl: 114.86838851301896	best val: 113.37610568468494	time (s) spent in epoch: 632.3981804847717
epoch: 23	train ppl: 70.88463316640475	val ppl: 114.01941206787485	best val: 113.37610568468494	time (s) spent in epoch: 634.8765773773193
epoch: 24	train ppl: 68.93390093028323	val ppl: 113.3855669189404	best val: 113.37610568468494	time (s) spent in epoch: 635.4579503536224
epoch: 25	train ppl: 67.10352219970913	val ppl: 114.636503675592	best val: 113.37610568468494	time (s) spent in epoch: 636.2199912071228
epoch: 26	train ppl: 65.4504516398215	val ppl: 114.8625685831518	best val: 113.37610568468494	time (s) spent in epoch: 635.2046957015991
epoch: 27	train ppl: 63.74711813614975	val ppl: 116.68751129239106	best val: 113.37610568468494	time (s) spent in epoch: 634.997257232666
epoch: 28	train ppl: 62.33174318309011	val ppl: 113.9012287030468	best val: 113.37610568468494	time (s) spent in epoch: 634.415815114975
epoch: 29	train ppl: 60.69681038994131	val ppl: 114.97122510637963	best val: 113.37610568468494	time (s) spent in epoch: 634.746887922287
epoch: 30	train ppl: 59.42206955895764	val ppl: 117.26548677855659	best val: 113.37610568468494	time (s) spent in epoch: 633.6179468631744
epoch: 31	train ppl: 58.150979832151656	val ppl: 118.13740617397268	best val: 113.37610568468494	time (s) spent in epoch: 636.0883429050446
epoch: 32	train ppl: 57.08635895976481	val ppl: 118.95037257540798	best val: 113.37610568468494	time (s) spent in epoch: 634.3848929405212
epoch: 33	train ppl: 55.70143173593926	val ppl: 119.68982376144832	best val: 113.37610568468494	time (s) spent in epoch: 633.8293550014496
epoch: 34	train ppl: 54.83989866957842	val ppl: 118.95547748113295	best val: 113.37610568468494	time (s) spent in epoch: 633.6897571086884
epoch: 35	train ppl: 53.78706647386673	val ppl: 119.84906963139285	best val: 113.37610568468494	time (s) spent in epoch: 634.7159934043884
epoch: 36	train ppl: 52.7475347138905	val ppl: 119.53123514560895	best val: 113.37610568468494	time (s) spent in epoch: 632.3044304847717
epoch: 37	train ppl: 51.97782275404192	val ppl: 121.95163258465965	best val: 113.37610568468494	time (s) spent in epoch: 635.2335956096649
epoch: 38	train ppl: 51.085638674242304	val ppl: 120.05669665598332	best val: 113.37610568468494	time (s) spent in epoch: 634.3070747852325
epoch: 39	train ppl: 50.24909375143495	val ppl: 119.81820090468193	best val: 113.37610568468494	time (s) spent in epoch: 636.1142745018005
