epoch: 0	train ppl: 581.3200664415256	val ppl: 342.7800550969715	best val: 342.7800550969715	time (s) spent in epoch: 414.2105894088745
epoch: 1	train ppl: 331.22827442839997	val ppl: 266.70125909878726	best val: 266.70125909878726	time (s) spent in epoch: 444.23547744750977
epoch: 2	train ppl: 267.87544807589427	val ppl: 234.2052474404241	best val: 234.2052474404241	time (s) spent in epoch: 437.75882840156555
epoch: 3	train ppl: 232.95285314126795	val ppl: 211.27875855383184	best val: 211.27875855383184	time (s) spent in epoch: 448.1086630821228
epoch: 4	train ppl: 208.98654801348846	val ppl: 197.49813391912593	best val: 197.49813391912593	time (s) spent in epoch: 435.6494526863098
epoch: 5	train ppl: 190.9726337578949	val ppl: 186.72233227636158	best val: 186.72233227636158	time (s) spent in epoch: 425.2227647304535
epoch: 6	train ppl: 176.99726227635796	val ppl: 177.57928062042978	best val: 177.57928062042978	time (s) spent in epoch: 473.95853900909424
epoch: 7	train ppl: 165.42331806809756	val ppl: 171.99382439341798	best val: 171.99382439341798	time (s) spent in epoch: 424.3236126899719
epoch: 8	train ppl: 155.87074787550256	val ppl: 167.52822996669465	best val: 167.52822996669465	time (s) spent in epoch: 391.32222390174866
epoch: 9	train ppl: 147.4832087129152	val ppl: 163.82440906749227	best val: 163.82440906749227	time (s) spent in epoch: 385.91013622283936
epoch: 10	train ppl: 139.78978407205733	val ppl: 159.95279606673847	best val: 159.95279606673847	time (s) spent in epoch: 396.8631160259247
epoch: 11	train ppl: 133.25770359356022	val ppl: 157.94046344375508	best val: 157.94046344375508	time (s) spent in epoch: 388.5562479496002
epoch: 12	train ppl: 127.33979520173965	val ppl: 154.72024919964255	best val: 154.72024919964255	time (s) spent in epoch: 389.3360288143158
epoch: 13	train ppl: 122.02878570152801	val ppl: 152.94303432916283	best val: 152.94303432916283	time (s) spent in epoch: 388.60910725593567
epoch: 14	train ppl: 116.93173482659608	val ppl: 150.59554987172297	best val: 150.59554987172297	time (s) spent in epoch: 388.64836502075195
epoch: 15	train ppl: 112.27321853648426	val ppl: 149.53235788553079	best val: 149.53235788553079	time (s) spent in epoch: 396.84499859809875
epoch: 16	train ppl: 108.07306966407572	val ppl: 150.06085814667276	best val: 149.53235788553079	time (s) spent in epoch: 392.4413390159607
epoch: 17	train ppl: 104.27369159394496	val ppl: 148.8413769373374	best val: 148.8413769373374	time (s) spent in epoch: 408.7335751056671
epoch: 18	train ppl: 100.70611257756892	val ppl: 147.7878088008349	best val: 147.7878088008349	time (s) spent in epoch: 427.0854034423828
epoch: 19	train ppl: 97.40054258951436	val ppl: 147.2283837707541	best val: 147.2283837707541	time (s) spent in epoch: 439.0787010192871
epoch: 20	train ppl: 94.24055495363427	val ppl: 147.16863895051242	best val: 147.16863895051242	time (s) spent in epoch: 429.96830439567566
epoch: 21	train ppl: 91.26836944747237	val ppl: 147.54565591721973	best val: 147.16863895051242	time (s) spent in epoch: 424.7213804721832
epoch: 22	train ppl: 88.53477179682565	val ppl: 147.77149673645275	best val: 147.16863895051242	time (s) spent in epoch: 423.0471525192261
epoch: 23	train ppl: 85.85774249119937	val ppl: 147.92094966983356	best val: 147.16863895051242	time (s) spent in epoch: 466.3927266597748
epoch: 24	train ppl: 83.28252565462097	val ppl: 149.72672864147412	best val: 147.16863895051242	time (s) spent in epoch: 425.4562737941742
epoch: 25	train ppl: 80.879734037838	val ppl: 151.0780922940778	best val: 147.16863895051242	time (s) spent in epoch: 398.087281703949
epoch: 26	train ppl: 78.73915758536506	val ppl: 151.48940272623835	best val: 147.16863895051242	time (s) spent in epoch: 386.0797710418701
epoch: 27	train ppl: 76.64925704582592	val ppl: 152.15878715919902	best val: 147.16863895051242	time (s) spent in epoch: 385.6030445098877
epoch: 28	train ppl: 74.35400773828925	val ppl: 152.66014591283033	best val: 147.16863895051242	time (s) spent in epoch: 385.11336636543274
epoch: 29	train ppl: 72.51438586094469	val ppl: 155.62579777605413	best val: 147.16863895051242	time (s) spent in epoch: 388.834374666214
epoch: 30	train ppl: 70.64065954527851	val ppl: 154.93559262974597	best val: 147.16863895051242	time (s) spent in epoch: 385.6229658126831
epoch: 31	train ppl: 68.83394073619426	val ppl: 156.98582198093172	best val: 147.16863895051242	time (s) spent in epoch: 386.1427409648895
epoch: 32	train ppl: 67.03148765364617	val ppl: 157.58439920855588	best val: 147.16863895051242	time (s) spent in epoch: 386.3909125328064
epoch: 33	train ppl: 65.4811449171675	val ppl: 160.32017882255286	best val: 147.16863895051242	time (s) spent in epoch: 384.2825767993927
epoch: 34	train ppl: 63.92672459748221	val ppl: 160.4942563006758	best val: 147.16863895051242	time (s) spent in epoch: 390.0711188316345
epoch: 35	train ppl: 62.30394662860266	val ppl: 163.68870887512352	best val: 147.16863895051242	time (s) spent in epoch: 407.44267320632935
epoch: 36	train ppl: 60.897035790570584	val ppl: 166.108398147958	best val: 147.16863895051242	time (s) spent in epoch: 399.8040647506714
epoch: 37	train ppl: 59.529447929348	val ppl: 166.7019800748162	best val: 147.16863895051242	time (s) spent in epoch: 394.88423252105713
epoch: 38	train ppl: 58.103613886547905	val ppl: 170.27710575220772	best val: 147.16863895051242	time (s) spent in epoch: 391.40951013565063
epoch: 39	train ppl: 56.77801573418911	val ppl: 170.56400689847146	best val: 147.16863895051242	time (s) spent in epoch: 384.4840316772461
