epoch: 0	train ppl: 343.9212705367808	val ppl: 191.0815383718161	best val: 191.0815383718161	time (s) spent in epoch: 36.721983909606934
epoch: 1	train ppl: 139.82402808383398	val ppl: 147.1340965372656	best val: 147.1340965372656	time (s) spent in epoch: 33.679988861083984
epoch: 2	train ppl: 94.4082514469826	val ppl: 137.73136094003294	best val: 137.73136094003294	time (s) spent in epoch: 33.69553828239441
epoch: 3	train ppl: 70.37101910178788	val ppl: 137.33092179813173	best val: 137.33092179813173	time (s) spent in epoch: 33.706817388534546
epoch: 4	train ppl: 54.765200409715014	val ppl: 144.66189610085087	best val: 137.33092179813173	time (s) spent in epoch: 33.7002317905426
epoch: 5	train ppl: 43.58497103038552	val ppl: 156.97626984712826	best val: 137.33092179813173	time (s) spent in epoch: 33.687376976013184
epoch: 6	train ppl: 35.18823593471197	val ppl: 171.5123213191509	best val: 137.33092179813173	time (s) spent in epoch: 33.706238746643066
epoch: 7	train ppl: 28.78800069811843	val ppl: 194.70212274100822	best val: 137.33092179813173	time (s) spent in epoch: 33.69364404678345
epoch: 8	train ppl: 23.841237053917553	val ppl: 221.33843778645226	best val: 137.33092179813173	time (s) spent in epoch: 33.703492164611816
epoch: 9	train ppl: 20.07793926107531	val ppl: 251.6342994202274	best val: 137.33092179813173	time (s) spent in epoch: 33.71330523490906
epoch: 10	train ppl: 17.123945512817063	val ppl: 288.7650848176059	best val: 137.33092179813173	time (s) spent in epoch: 33.69063639640808
epoch: 11	train ppl: 14.855319478737693	val ppl: 324.1458356645913	best val: 137.33092179813173	time (s) spent in epoch: 33.67498540878296
epoch: 12	train ppl: 13.065060939668752	val ppl: 366.57783240196454	best val: 137.33092179813173	time (s) spent in epoch: 33.651477575302124
epoch: 13	train ppl: 11.593616115005423	val ppl: 412.5358707399653	best val: 137.33092179813173	time (s) spent in epoch: 33.648415088653564
epoch: 14	train ppl: 10.439133987286915	val ppl: 461.3349439049518	best val: 137.33092179813173	time (s) spent in epoch: 33.6653892993927
epoch: 15	train ppl: 9.46875636893327	val ppl: 518.1322512485137	best val: 137.33092179813173	time (s) spent in epoch: 33.65188384056091
epoch: 16	train ppl: 8.67528385187592	val ppl: 583.9922310921212	best val: 137.33092179813173	time (s) spent in epoch: 33.643786907196045
epoch: 17	train ppl: 8.010448790871171	val ppl: 664.8658366356672	best val: 137.33092179813173	time (s) spent in epoch: 33.64386868476868
epoch: 18	train ppl: 7.456427968504601	val ppl: 739.4726978433372	best val: 137.33092179813173	time (s) spent in epoch: 33.640109062194824
epoch: 19	train ppl: 6.971028613639526	val ppl: 831.3602878789584	best val: 137.33092179813173	time (s) spent in epoch: 33.63870930671692
epoch: 20	train ppl: 6.5688942822912795	val ppl: 918.0581268428068	best val: 137.33092179813173	time (s) spent in epoch: 33.63020062446594
epoch: 21	train ppl: 6.190508618480855	val ppl: 1030.6611790815048	best val: 137.33092179813173	time (s) spent in epoch: 33.62394857406616
epoch: 22	train ppl: 5.871446115061015	val ppl: 1169.8402635585542	best val: 137.33092179813173	time (s) spent in epoch: 33.6206591129303
epoch: 23	train ppl: 5.602387396596953	val ppl: 1278.9458048450379	best val: 137.33092179813173	time (s) spent in epoch: 33.61455965042114
epoch: 24	train ppl: 5.346200048891376	val ppl: 1410.7605315439562	best val: 137.33092179813173	time (s) spent in epoch: 33.61356973648071
epoch: 25	train ppl: 5.1197574889453294	val ppl: 1528.904496656824	best val: 137.33092179813173	time (s) spent in epoch: 33.63477563858032
epoch: 26	train ppl: 4.92961437661409	val ppl: 1641.0979132831208	best val: 137.33092179813173	time (s) spent in epoch: 33.60586380958557
epoch: 27	train ppl: 4.751450415064902	val ppl: 1783.5721432018981	best val: 137.33092179813173	time (s) spent in epoch: 33.605430126190186
epoch: 28	train ppl: 4.594782577026425	val ppl: 1890.51727629115	best val: 137.33092179813173	time (s) spent in epoch: 33.49082040786743
epoch: 29	train ppl: 4.4314000812065135	val ppl: 2043.4292233611911	best val: 137.33092179813173	time (s) spent in epoch: 33.449063777923584
epoch: 30	train ppl: 4.292375048716724	val ppl: 2235.6812804696447	best val: 137.33092179813173	time (s) spent in epoch: 33.45978784561157
epoch: 31	train ppl: 4.186578571783785	val ppl: 2373.157768768385	best val: 137.33092179813173	time (s) spent in epoch: 33.45196175575256
epoch: 32	train ppl: 4.0528061540208045	val ppl: 2516.678015099234	best val: 137.33092179813173	time (s) spent in epoch: 33.44660687446594
epoch: 33	train ppl: 3.9691575239257055	val ppl: 2753.486930162805	best val: 137.33092179813173	time (s) spent in epoch: 33.44890260696411
epoch: 34	train ppl: 3.858514059823168	val ppl: 2865.297072622603	best val: 137.33092179813173	time (s) spent in epoch: 33.48120331764221
epoch: 35	train ppl: 3.770763673719279	val ppl: 3080.209433401088	best val: 137.33092179813173	time (s) spent in epoch: 33.479344844818115
epoch: 36	train ppl: 3.686227353048115	val ppl: 3288.7967986638705	best val: 137.33092179813173	time (s) spent in epoch: 33.4719033241272
epoch: 37	train ppl: 3.6091998709908224	val ppl: 3563.9066288617882	best val: 137.33092179813173	time (s) spent in epoch: 33.45867609977722
epoch: 38	train ppl: 3.529979990308064	val ppl: 3779.987198025348	best val: 137.33092179813173	time (s) spent in epoch: 33.46397542953491
epoch: 39	train ppl: 3.4760267829534333	val ppl: 3963.774767318605	best val: 137.33092179813173	time (s) spent in epoch: 33.472713232040405
