epoch: 0	train ppl: 100781.5248278044	val ppl: 3785.130233965091	best val: 3785.130233965091	time (s) spent in epoch: 66.91502380371094
epoch: 1	train ppl: 4886.169846364193	val ppl: 1464.4510930110762	best val: 1464.4510930110762	time (s) spent in epoch: 67.43028545379639
epoch: 2	train ppl: 1268.7454686398169	val ppl: 1134.8577905129337	best val: 1134.8577905129337	time (s) spent in epoch: 66.59033417701721
epoch: 3	train ppl: 776.6039557472419	val ppl: 659.7811523169032	best val: 659.7811523169032	time (s) spent in epoch: 66.19689106941223
epoch: 4	train ppl: 592.2766748177669	val ppl: 471.550576415013	best val: 471.550576415013	time (s) spent in epoch: 66.19012451171875
epoch: 5	train ppl: 473.9690424693532	val ppl: 458.9223425640345	best val: 458.9223425640345	time (s) spent in epoch: 66.16742324829102
epoch: 6	train ppl: 400.6082809882665	val ppl: 448.65127031696244	best val: 448.65127031696244	time (s) spent in epoch: 66.1774115562439
epoch: 7	train ppl: 343.93508516723455	val ppl: 336.8692211612714	best val: 336.8692211612714	time (s) spent in epoch: 66.10586786270142
epoch: 8	train ppl: 297.0978549951613	val ppl: 295.5875975067693	best val: 295.5875975067693	time (s) spent in epoch: 66.10098552703857
epoch: 9	train ppl: 255.59834237675693	val ppl: 324.3333866395977	best val: 295.5875975067693	time (s) spent in epoch: 66.07789206504822
epoch: 10	train ppl: 228.99520165850458	val ppl: 251.11033808539088	best val: 251.11033808539088	time (s) spent in epoch: 66.06990098953247
epoch: 11	train ppl: 203.06132823881237	val ppl: 228.35163864994385	best val: 228.35163864994385	time (s) spent in epoch: 65.97747039794922
epoch: 12	train ppl: 183.59999374231705	val ppl: 253.6147696590968	best val: 228.35163864994385	time (s) spent in epoch: 65.6463029384613
epoch: 13	train ppl: 165.43134314316242	val ppl: 204.72833059795315	best val: 204.72833059795315	time (s) spent in epoch: 65.64381051063538
epoch: 14	train ppl: 148.23159074253243	val ppl: 190.20824594756238	best val: 190.20824594756238	time (s) spent in epoch: 65.63687920570374
epoch: 15	train ppl: 136.9482292038619	val ppl: 187.23798964156305	best val: 187.23798964156305	time (s) spent in epoch: 65.63949823379517
epoch: 16	train ppl: 127.64809911072133	val ppl: 188.7501505965415	best val: 187.23798964156305	time (s) spent in epoch: 65.65448331832886
epoch: 17	train ppl: 117.77008363846271	val ppl: 182.37355283145496	best val: 182.37355283145496	time (s) spent in epoch: 65.65457916259766
epoch: 18	train ppl: 110.12742802372607	val ppl: 186.574446713957	best val: 182.37355283145496	time (s) spent in epoch: 65.68141031265259
epoch: 19	train ppl: 102.18216830159761	val ppl: 172.9387218609929	best val: 172.9387218609929	time (s) spent in epoch: 65.6655535697937
epoch: 20	train ppl: 98.40158539901853	val ppl: 161.55001047460848	best val: 161.55001047460848	time (s) spent in epoch: 65.71134495735168
epoch: 21	train ppl: 90.83437905400122	val ppl: 174.619024324661	best val: 161.55001047460848	time (s) spent in epoch: 65.68316221237183
epoch: 22	train ppl: 85.59018767468184	val ppl: 172.52850430890948	best val: 161.55001047460848	time (s) spent in epoch: 65.69169187545776
epoch: 23	train ppl: 79.0652372636607	val ppl: 181.8422970555637	best val: 161.55001047460848	time (s) spent in epoch: 65.65179061889648
epoch: 24	train ppl: 75.31971601544141	val ppl: 178.61147394204937	best val: 161.55001047460848	time (s) spent in epoch: 65.68014287948608
epoch: 25	train ppl: 71.39168161440881	val ppl: 186.91897801014213	best val: 161.55001047460848	time (s) spent in epoch: 65.66486430168152
epoch: 26	train ppl: 66.58701950937369	val ppl: 179.19682593021727	best val: 161.55001047460848	time (s) spent in epoch: 65.67621040344238
epoch: 27	train ppl: 61.47962992672949	val ppl: 178.355752187312	best val: 161.55001047460848	time (s) spent in epoch: 65.66049838066101
epoch: 28	train ppl: 58.69321531329019	val ppl: 194.22697351151862	best val: 161.55001047460848	time (s) spent in epoch: 65.70592546463013
epoch: 29	train ppl: 55.78429040535985	val ppl: 189.9135800496112	best val: 161.55001047460848	time (s) spent in epoch: 65.66813516616821
epoch: 30	train ppl: 51.691423228985386	val ppl: 211.11091173163058	best val: 161.55001047460848	time (s) spent in epoch: 65.70128774642944
epoch: 31	train ppl: 48.510028835250694	val ppl: 207.27404447957494	best val: 161.55001047460848	time (s) spent in epoch: 65.69641590118408
epoch: 32	train ppl: 45.320328571037436	val ppl: 205.2882374826198	best val: 161.55001047460848	time (s) spent in epoch: 65.70328903198242
epoch: 33	train ppl: 42.39410452894925	val ppl: 211.99113649806125	best val: 161.55001047460848	time (s) spent in epoch: 65.69190263748169
epoch: 34	train ppl: 40.803681834271615	val ppl: 227.59819173767323	best val: 161.55001047460848	time (s) spent in epoch: 65.76700687408447
epoch: 35	train ppl: 38.0254760947752	val ppl: 238.78792968009196	best val: 161.55001047460848	time (s) spent in epoch: 65.71119689941406
epoch: 36	train ppl: 36.29383199188945	val ppl: 236.78874230749608	best val: 161.55001047460848	time (s) spent in epoch: 65.74076390266418
epoch: 37	train ppl: 32.99545021765227	val ppl: 254.2679973605789	best val: 161.55001047460848	time (s) spent in epoch: 65.73242855072021
epoch: 38	train ppl: 31.497454961617116	val ppl: 273.30651064425984	best val: 161.55001047460848	time (s) spent in epoch: 65.73519253730774
epoch: 39	train ppl: 29.87125386609517	val ppl: 281.7622920831424	best val: 161.55001047460848	time (s) spent in epoch: 65.7300398349762
